# freq, energy
4.574298524650289330e-04 7.584756532896720138e+00
4.634464062245657661e-04 7.383370633486916468e+00
4.695420954383063309e-04 7.187483965312218004e+00
4.757179609712317470e-04 6.996938189743793224e+00
4.819750573787721362e-04 6.811579970672964279e+00
4.883144530868750938e-04 6.631260792304813023e+00
4.947372305744472069e-04 6.455836784893011604e+00
5.012444865581892200e-04 6.285168558000501449e+00
5.078373321798664280e-04 6.119121040895675989e+00
5.145168931960411281e-04 5.957563329717777023e+00
5.212843101702978712e-04 5.800368541067245864e+00
5.281407386680033594e-04 5.647413671696999593e+00
5.350873494536214844e-04 5.498579464000384220e+00
5.421253286906279559e-04 5.353750277008746394e+00
5.492558781440501098e-04 5.212813962628782605e+00
5.564802153856769976e-04 5.075661746864879476e+00
5.637995740019629588e-04 4.942188115786755098e+00
5.712152038046677208e-04 4.812290706015785346e+00
5.787283710442682602e-04 4.685870199516406487e+00
5.863403586261738696e-04 4.562830222490841692e+00
5.940524663297914836e-04 4.443077248186318329e+00
6.018660110304664169e-04 4.326520503434755582e+00
6.097823269243429680e-04 4.213071878754330868e+00
6.178027657561876041e-04 4.102645841851591868e+00
6.259286970502028107e-04 3.995159354371564220e+00
6.341615083438798504e-04 3.890531791751123514e+00
6.425026054249270788e-04 3.788684866038641630e+00
6.509534125713119799e-04 3.689542551550039740e+00
6.595153727944663615e-04 3.593031013237938609e+00
6.681899480856842016e-04 3.499078537657161814e+00
6.769786196657642937e-04 3.407615466415517602e+00
6.858828882379322794e-04 3.318574132004562749e+00
6.949042742440960600e-04 3.231888795910135670e+00
7.040443181244653795e-04 3.147495588907634811e+00
7.133045805805887044e-04 3.065332453451485417e+00
7.226866428418510929e-04 2.985339088072751945e+00
7.321921069354725203e-04 2.907456893703027845e+00
7.418225959600650973e-04 2.831628921846566449e+00
7.515797543627824673e-04 2.757799824526486532e+00
7.614652482201133155e-04 2.685915805934287803e+00
7.714807655223761274e-04 2.615924575715158351e+00
7.816280164619471803e-04 2.547775303824940885e+00
7.919087337252845443e-04 2.481418576897313599e+00
8.023246727887911340e-04 2.416806356062746186e+00
8.128776122185709134e-04 2.353891936163342802e+00
8.235693539741234656e-04 2.292629906310286181e+00
8.344017237160408947e-04 2.232976111732885904e+00
8.453765711177451151e-04 2.174887616870635920e+00
8.564957701813245101e-04 2.118322669661711011e+00
8.677612195575332751e-04 2.063240666983396476e+00
8.791748428699905273e-04 2.009602121201967240e+00
8.907385890436481362e-04 1.957368627791245874e+00
9.024544326375788820e-04 1.906502833980900924e+00
9.143243741821373109e-04 1.856968408397181580e+00
9.263504405205641922e-04 1.808730011660314885e+00
9.385346851550761035e-04 1.761753267904392795e+00
9.508791885975066043e-04 1.716004737186919593e+00
9.633860587245686056e-04 1.671451888756523951e+00
9.760574311377788080e-04 1.628063075148766803e+00
9.888954695281228138e-04 1.585807507081041567e+00
1.001902366045513389e-03 1.544655229118857109e+00
1.015080341673111697e-03 1.504577096086834542e+00
1.028431646606564089e-03 1.465544750198890966e+00
1.041958560638240640e-03 1.427530598882973401e+00
1.055663393546514475e-03 1.390507793276851478e+00
1.069548485490164590e-03 1.354450207372233095e+00
1.083616207407973094e-03 1.319332417785431755e+00
1.097868961423570421e-03 1.285129684133673011e+00
1.112309181255607439e-03 1.251817929996878354e+00
1.126939332633324509e-03 1.219373724445564022e+00
1.141761913717586653e-03 1.187774264116220557e+00
1.156779455527449669e-03 1.156997355816260509e+00
1.171994522372350658e-03 1.127021399641230825e+00
1.187409712289966539e-03 1.097825372587733828e+00
1.203027657489846814e-03 1.069388812645991838e+00
1.218851024802871308e-03 1.041691803356690871e+00
1.234882516136623105e-03 1.014714958817228618e+00
1.251124868936751055e-03 9.884394091230543911e-01
1.267580856654402285e-03 9.628467862303162761e-01
1.284253289219794121e-03 9.379192102265206943e-01
1.301145013522032531e-03 9.136392759963474219e-01
1.318258913895219153e-03 8.899900402703073699e-01
1.335597912610973119e-03 8.669550090442490475e-01
1.353164970377415590e-03 8.445181253582472181e-01
1.370963086844725854e-03 8.226637574237370965e-01
1.388995301117343373e-03 8.013766870881724458e-01
1.407264692272908136e-03 7.806420986268558515e-01
