# freq, energy, cw_energy, ccw_energy
3.626593368195374693e-04 1.066859852044130141e+00 8.275164460426913671e-01 2.393434060014387743e-01
3.657386486337086480e-04 1.046642453569226028e+00 8.098035677934951604e-01 2.368388857757308397e-01
3.688441066415282439e-04 1.026845887763142562e+00 7.925019955491831025e-01 2.343438922139595149e-01
3.719759328482631828e-04 1.007460143148737108e+00 7.756012255443001102e-01 2.318589176044370537e-01
3.751343511442106087e-04 9.884754870919248981e-01 7.590910526089815757e-01 2.293844344829433779e-01
3.783195873207011953e-04 9.698824567255375229e-01 7.429615606178545661e-01 2.269208961076829012e-01
3.815318690862432960e-04 9.516718502128066470e-01 7.272031132857892377e-01 2.244687369270174371e-01
3.847714260827992576e-04 9.338347183361165316e-01 7.118063452961677084e-01 2.220283730399489619e-01
3.880384899022031151e-04 9.163623563972539410e-01 6.967621537479311566e-01 2.196002026493229231e-01
3.913332941027180926e-04 8.992462964161002104e-01 6.820616899083629114e-01 2.171846065077372157e-01
3.946560742257306615e-04 8.824782996153308634e-01 6.676963512591777006e-01 2.147819483561531351e-01
3.980070678125921025e-04 8.660503491792018727e-01 6.536577738240022528e-01 2.123925753551995921e-01
4.013865144215971121e-04 8.499546432751686753e-01 6.399378247659813779e-01 2.100168185091874362e-01
4.047946556451125161e-04 8.341835883274861807e-01 6.265285952446484341e-01 2.076549930828377466e-01
4.082317351268451413e-04 8.187297925325517367e-01 6.134223935218003909e-01 2.053073990107512903e-01
4.116979985792630463e-04 8.035860596061161765e-01 6.006117383064790705e-01 2.029743212996370505e-01
4.151936938011582963e-04 7.887453827530399586e-01 5.880893523297024972e-01 2.006560304233374614e-01
4.187190706953627722e-04 7.742009388506082557e-01 5.758481561399276805e-01 1.983527827106805475e-01
4.222743812866149547e-04 7.599460828368694854e-01 5.638812621106688017e-01 1.960648207262007114e-01
4.258598797395738355e-04 7.459743422958579062e-01 5.521819686520820225e-01 1.937923736437758560e-01
4.294758223769920428e-04 7.322794122318575516e-01 5.407437546186342203e-01 1.915356576132232758e-01
4.331224676980369062e-04 7.188551500253055337e-01 5.295602739053917318e-01 1.892948761199138019e-01
4.368000763967733397e-04 7.056955705631611231e-01 5.186253502257083259e-01 1.870702203374527417e-01
4.405089113807974816e-04 6.927948415369782342e-01 5.079329720634832013e-01 1.848618694734950330e-01
4.442492377900347008e-04 6.801472789021189014e-01 4.974772877933715809e-01 1.826699911087473205e-01
4.480213230156912876e-04 6.677473424919201372e-01 4.872526009626897414e-01 1.804947415292304236e-01
4.518254367193711069e-04 6.555896317808211915e-01 4.772533657289574904e-01 1.783362660518636733e-01
4.556618508523549351e-04 6.436688817907513238e-01 4.674741824473094831e-01 1.761946993434418685e-01
4.595308396750383620e-04 6.319799591353379986e-01 4.579097934022576810e-01 1.740701657330803176e-01
4.634326797765424603e-04 6.205178581966630524e-01 4.485550786784690547e-01 1.719627795181939700e-01
4.673676500944825857e-04 6.092776974296096881e-01 4.394050521655141206e-01 1.698726452640955120e-01
4.713360319349134690e-04 5.982547157889478440e-01 4.304548576916691904e-01 1.677998580972786813e-01
4.753381089924353111e-04 5.874442692746152384e-01 4.216997652821401488e-01 1.657445039924751173e-01
4.793741673704788263e-04 5.768418275907402082e-01 4.131351675371844889e-01 1.637066600535557470e-01
4.834444956017547594e-04 5.664429709142261293e-01 4.047565761258620776e-01 1.616863947883640518e-01
4.875493846688825662e-04 5.562433867688176825e-01 3.965596183912606376e-01 1.596837683775571004e-01
4.916891280251933262e-04 5.462388670007812808e-01 3.885400340632421678e-01 1.576988329375391407e-01
4.958640216157055849e-04 5.364253048524860734e-01 3.806936720749135028e-01 1.557316327775726261e-01
5.000743638982855111e-04 5.267986921302916237e-01 3.730164874791463969e-01 1.537822046511452267e-01
5.043204558649792791e-04 5.173551164633429789e-01 3.655045384616606996e-01 1.518505780016823070e-01
5.086026010635351325e-04 5.080907586499573414e-01 3.581539834472734496e-01 1.499367752026838918e-01
5.129211056190989201e-04 4.990018900884778952e-01 3.509610782961014586e-01 1.480408117923764089e-01
5.172762782561033789e-04 4.900848702895304609e-01 3.439221735865731766e-01 1.461626967029572566e-01
5.216684303203342503e-04 4.813361444668123879e-01 3.370337119822877092e-01 1.443024324845247341e-01
5.260978758011897096e-04 4.727522412035873867e-01 3.302922256798159761e-01 1.424600155237714383e-01
5.305649313541288808e-04 4.643297701922159959e-01 3.236943339346876614e-01 1.406354362575283345e-01
5.350699163233052068e-04 4.560654200441610628e-01 3.172367406629131303e-01 1.388286793812479325e-01
5.396131527644003984e-04 4.479559561679528068e-01 3.109162321154504416e-01 1.370397240525024207e-01
5.441949654676437806e-04 4.399982187127794431e-01 3.047296746231885067e-01 1.352685440895909363e-01
5.488156819810328674e-04 4.321891205753774501e-01 2.986740124100457083e-01 1.335151081653316862e-01
5.534756326337506114e-04 4.245256454680426117e-01 2.927462654719165669e-01 1.317793799961260726e-01
5.581751505597790011e-04 4.170048460456451944e-01 2.869435275192674939e-01 1.300613185263777005e-01
5.629145717217131284e-04 4.096238420896154975e-01 2.812629639812664895e-01 1.283608781083490635e-01
5.676942349347799529e-04 4.023798187469375121e-01 2.757018100694022533e-01 1.266780086775352865e-01
5.725144818910616554e-04 3.952700248222752455e-01 2.702573688986367739e-01 1.250126559236384438e-01
5.773756571839185926e-04 3.882917711214300960e-01 2.649270096642054040e-01 1.233647614572247198e-01
5.822781083326284421e-04 3.814424288443670763e-01 2.597081658722272812e-01 1.217342629721397534e-01
5.872221858072258164e-04 3.747194280261576527e-01 2.545983336223906490e-01 1.201210944037670036e-01
5.922082430535588254e-04 3.681202560242081701e-01 2.495950699410043327e-01 1.185251860832038096e-01
5.972366365185576009e-04 3.616424560502269903e-01 2.446959911627925588e-01 1.169464648874344037e-01
6.023077256757149991e-04 3.552836257454401458e-01 2.398987713598618732e-01 1.153848543855782588e-01
6.074218730507837099e-04 3.490414157976110543e-01 2.352011408163220130e-01 1.138402749812890274e-01
6.125794442476940015e-04 3.429135285984736825e-01 2.306008845470950974e-01 1.123126440513785851e-01
6.177808079746921000e-04 3.368977169402495031e-01 2.260958408595070135e-01 1.108018760807425035e-01
6.230263360706944338e-04 3.309917827499651577e-01 2.216838999563034429e-01 1.093078827936617425e-01
6.283164035318747646e-04 3.251935758603158866e-01 2.173630025787664510e-01 1.078305732815494217e-01
6.336513885384678331e-04 3.195009928159006640e-01 2.131311386886799719e-01 1.063698541272206782e-01
6.390316724818071933e-04 3.139119757136592526e-01 2.089863461879080675e-01 1.049256295257511851e-01
6.444576399915909453e-04 3.084245110764113340e-01 2.049267096744133154e-01 1.034978014019980325e-01
6.499296789633780781e-04 3.030366287584264073e-01 2.009503592335747935e-01 1.020862695248516278e-01
6.554481805863165067e-04 2.977464008819937780e-01 1.970554692637067062e-01 1.006909316182870717e-01
6.610135393711106091e-04 2.925519408039923830e-01 1.932402573347108132e-01 9.931168346928156976e-02
6.666261531782257700e-04 2.874514021115061047e-01 1.895029830788407810e-01 9.794841903266532368e-02
6.722864232463265704e-04 2.824429776455633645e-01 1.858419471125906386e-01 9.660103053297272591e-02
6.779947542209664030e-04 2.775248985520940570e-01 1.822554899887392221e-01 9.526940856335484875e-02
6.837515541835096494e-04 2.726954333592638835e-01 1.787419911776416681e-01 9.395344218162218763e-02
6.895572346803077778e-04 2.679528870803331020e-01 1.752998680768579065e-01 9.265301900347516773e-02
6.954122107521209031e-04 2.632956003412535440e-01 1.719275750482658904e-01 9.136802529298762576e-02
7.013169009637877389e-04 2.587219485322244106e-01 1.686236024818211776e-01 9.009834605040323297e-02
7.072717274341464326e-04 2.542303409824613891e-01 1.653864758851566197e-01 8.884386509730478332e-02
7.132771158662128998e-04 2.498192201574542803e-01 1.622147549982397297e-01 8.760446515921457844e-02
7.193334955776160052e-04 2.454870608780199415e-01 1.591070329323356902e-01 8.638002794568425124e-02
7.254412995312838454e-04 2.412323695604833007e-01 1.560619353325501946e-01 8.517043422793309226e-02
7.316009643664015153e-04 2.370536834773235013e-01 1.530781195632369973e-01 8.397556391408651788e-02
7.378129304296205185e-04 2.329495700376752743e-01 1.501542739156004336e-01 8.279529612207486844e-02
7.440776418065412874e-04 2.289186260870667844e-01 1.472891168368233028e-01 8.162950925024348159e-02
7.503955463534614425e-04 2.249594772258122211e-01 1.444813961800848479e-01 8.047808104572737320e-02
7.567670957293913059e-04 2.210707771454994697e-01 1.417298884748540155e-01 7.934088867064541251e-02
7.631927454283403585e-04 2.172512069830208892e-01 1.390333982168577009e-01 7.821780876616318823e-02
7.696729548118819023e-04 2.134994746916189512e-01 1.363907571771437732e-01 7.710871751447517797e-02
7.762081871419945203e-04 2.098143144284390083e-01 1.338008237296823555e-01 7.601349069875663889e-02
7.827989096141745864e-04 2.061944859580990552e-01 1.312624821969642641e-01 7.493200376113480499e-02
7.894455933908416188e-04 2.026387740717904840e-01 1.287746422130662538e-01 7.386413185872424403e-02
7.961487136350156590e-04 1.991459880214604128e-01 1.263362381036833293e-01 7.280974991777708349e-02
8.029087495442885792e-04 1.957149609686210934e-01 1.239462282826296335e-01 7.176873268599145983e-02
8.097261843850828101e-04 1.923445494473583761e-01 1.216035946643343052e-01 7.074095478302407092e-02
8.166015055271977092e-04 1.890336328411245104e-01 1.193073420918723676e-01 6.972629074925214276e-02
8.235352044786495296e-04 1.857811128729111860e-01 1.170564977800833961e-01 6.872461509282777603e-02
8.305277769208105213e-04 1.825859131084092424e-01 1.148501107733426868e-01 6.773580233506655557e-02
8.375797227438466211e-04 1.794469784717817040e-01 1.126872514175686485e-01 6.675972705421304165e-02
8.446915460824483109e-04 1.763632747736871842e-01 1.105670108460618389e-01 6.579626392762534526e-02
8.518637553518777382e-04 1.733337882511916117e-01 1.084885004787757151e-01 6.484528777241589659e-02
8.590968632843079197e-04 1.703575251192387119e-01 1.064508515346469369e-01 6.390667358459177494e-02
8.663913869654803765e-04 1.674335111333373483e-01 1.044532145566074433e-01 6.298029657672990500e-02
8.737478478716728496e-04 1.645607911631511711e-01 1.024947589489245831e-01 6.206603221422659494e-02
8.811667719069768813e-04 1.617384287766805151e-01 1.005746725265219410e-01 6.116375625015856715e-02
8.886486894408923091e-04 1.589655058347362593e-01 9.869216107594427911e-02 6.027334475879198711e-02
8.961941353462445255e-04 1.562411220954117164e-01 9.684644792763819066e-02 5.939467416777353265e-02
9.038036490374247228e-04 1.535643948282744975e-01 9.503677353923445370e-02 5.852762128904005073e-02
9.114777745089454233e-04 1.509344584380078735e-01 9.326239508952664792e-02 5.767206334848123256e-02
9.192170603743373162e-04 1.483504640972298227e-01 9.152258608284376262e-02 5.682787801438606706e-02
